LAMMPS data file generated via init_lammps.jl. Written by Simon Alberti.
 
100 atoms
1 atom types
95 bonds
1 bond types
90 angles
1 angle types

-5.0 5.0 xlo xhi
-5.0 5.0 ylo yhi
-5.0 5.0 zlo zhi

Masses

1 1

Atoms

1 1 1 0.0 -3.2422018669930686 3.7535518036360784 -4.752733632766666 0 0 0
2 1 1 0.0 -3.9364138462696356 3.0626230372812926 -4.954444236484877 0 0 0
3 1 1 0.0 -3.504388566184876 3.0213926320307483 4.144637226104242 0 0 -1
4 1 1 0.0 -3.342366037870496 2.1622441746289165 3.6592377736296138 0 0 -1
5 1 1 0.0 -3.7258130706505397 1.6091101319920855 2.9196357834156768 0 0 -1
6 1 1 0.0 -4.406334787637368 2.1011529292921898 3.4625759995853658 0 0 -1
7 1 1 0.0 -4.179889990037926 3.0573529517513447 3.2770921170261005 0 0 -1
8 1 1 0.0 -4.895390038816911 3.7553769679817437 3.248418907180442 0 0 -1
9 1 1 0.0 4.94303309177291 3.5102418533043065 2.2924891551464937 -1 0 -1
10 1 1 0.0 -4.344062407271592 4.174061085838742 2.5185670157051625 0 0 -1
11 1 1 0.0 -4.669277354413191 4.993309329541808 2.990867294495181 0 0 -1
12 1 1 0.0 4.6383725729689225 4.621928900542342 2.372217188294446 -1 0 -1
13 1 1 0.0 4.502709641949865 -4.576127057527702 1.790425711251027 -1 1 -1
14 1 1 0.0 3.755260998766513 -4.10286303978032 1.3242265099336379 -1 1 -1
15 1 1 0.0 3.6896962016089203 -4.05993631996881 0.32730196208665596 -1 1 -1
16 1 1 0.0 3.0664348420817173 -3.2953275889673606 0.4913713565411264 -1 1 -1
17 1 1 0.0 2.936797294564884 -3.669095045118083 -0.4270468461293344 -1 1 -1
18 1 1 0.0 2.4281577770706866 -4.242762212865825 -1.0690685139035256 -1 1 -1
19 1 1 0.0 2.0935558425298284 4.912361437461318 -0.6516652326933947 -1 0 -1
20 1 1 0.0 2.2878700410341617 -4.631541664018676 0.21679179642206492 -1 1 -1
21 2 1 0.0 -1.1365946489045697 -1.5026911987776925 -1.0476368774494516 0 0 0
22 2 1 0.0 -2.025508767076522 -1.589516853589953 -0.5978669405027914 0 0 0
23 2 1 0.0 -1.9224185874814292 -1.1476444149891512 0.29326782084143543 0 0 0
24 2 1 0.0 -2.572732110755961 -0.5885169476825927 -0.22099747718052754 0 0 0
25 2 1 0.0 -3.21071208448116 -0.7946393965485392 -0.9629510398777491 0 0 0
26 2 1 0.0 -2.3733818392053756 -0.3408999985171029 -1.2679077893037372 0 0 0
27 2 1 0.0 -1.6161155177828497 -0.1726423954744084 -1.8989680855175957 0 0 0
28 2 1 0.0 -0.9796661718289227 0.1797256478691206 -2.5850941614432026 0 0 0
29 2 1 0.0 -1.4686746434006996 -0.42724477883739465 -3.211558538590655 0 0 0
30 2 1 0.0 -1.7680378973967827 -0.8352924401610791 -4.07404259539701 0 0 0
31 2 1 0.0 -0.9405230941085446 -1.3507296928413997 -3.8514584789641613 0 0 0
32 2 1 0.0 -0.6980332697108073 -1.7985032230652958 -2.9908206046555854 0 0 0
33 2 1 0.0 -0.23865429546376282 -1.7478179958895996 -2.1040275252025027 0 0 0
34 2 1 0.0 -0.8175891393116307 -2.554467420446801 -2.2229861417058085 0 0 0
35 2 1 0.0 -1.407530744632262 -3.146352005425988 -1.6737671140167338 0 0 0
36 2 1 0.0 -2.0139225643912475 -2.436702932422624 -2.032497032081637 0 0 0
37 2 1 0.0 -2.5288619863225525 -2.1045245540652484 -2.8227469398278626 0 0 0
38 2 1 0.0 -2.3135924843860396 -1.1441334806656913 -2.999687686040973 0 0 0
39 2 1 0.0 -2.9735361352547036 -0.8046976333361022 -3.669954560670611 0 0 0
40 2 1 0.0 -3.629559070058277 -0.6103711476622592 -2.940659609380421 0 0 0
41 3 1 0.0 -1.1877600407363786 4.1218839987429785 1.2160312541458351 0 0 0
42 3 1 0.0 -1.9361360107647865 3.8665100649207145 0.6038894720330785 0 0 0
43 3 1 0.0 -2.2463365309310603 4.530560258097646 1.2841930647255273 0 0 0
44 3 1 0.0 -2.987327354781502 4.691158281867649 1.9362213415131322 0 0 0
45 3 1 0.0 -3.85196493616223 4.382369023422665 1.53992467645893 0 0 0
46 3 1 0.0 -3.327369533757912 4.694668295581259 0.7479216282416493 0 0 0
47 3 1 0.0 -2.773191495296246 -4.924792489448446 0.007599666149093243 0 1 0
48 3 1 0.0 -2.671835779162248 4.32210494523989 -0.6424492127269158 0 0 0
49 3 1 0.0 -3.2192547037209946 4.986900195869825 -1.1507599403088031 0 0 0
50 3 1 0.0 -3.8897206618118667 -4.658396885321905 -0.49909956984717774 0 1 0
51 3 1 0.0 -4.447525732613056 -4.558184552807193 -1.3229994371857037 0 1 0
52 3 1 0.0 4.710619415316029 4.906752799917001 -1.252371032596159 -1 0 0
53 3 1 0.0 3.722740442586322 -4.961019615833748 -1.1710629690224468 -1 1 0
54 3 1 0.0 3.2002759481461176 4.38667869773879 -0.6219424340456249 -1 0 0
55 3 1 0.0 2.7158565968954678 4.090612694880193 0.2012724917697617 -1 0 0
56 3 1 0.0 2.283567740333991 3.868950306455309 -0.6727939416611002 -1 0 0
57 3 1 0.0 1.613592877307676 3.6305173865621176 0.030258990644909 -1 0 0
58 3 1 0.0 1.247842964378643 2.702239423051093 -0.037024169597678944 -1 0 0
59 3 1 0.0 1.4850556643747446 2.49873814849266 0.912879702493415 -1 0 0
60 3 1 0.0 2.2085524886985626 2.4897779013601924 0.22261014705534155 -1 0 0
61 4 1 0.0 1.7477362892508204 -2.2153404268822574 -1.6956732866297508 0 0 0
62 4 1 0.0 2.54389933693599 -2.7343409784380412 -2.006740528533258 0 0 0
63 4 1 0.0 3.3742289511371553 -2.177443344694771 -1.986301416231332 0 0 0
64 4 1 0.0 2.8927278437004045 -1.766933914263039 -1.2119380060266676 0 0 0
65 4 1 0.0 2.8137334074957985 -1.9200634538629238 -0.22689423890226013 0 0 0
66 4 1 0.0 1.8552949505843481 -1.7442613329023566 -0.4515925668421096 0 0 0
67 4 1 0.0 2.345790539393284 -0.909919499918319 -0.7031631992533902 0 0 0
68 4 1 0.0 2.7058066932865863 0.0076136340799508595 -0.5342806455328032 0 0 0
69 4 1 0.0 3.0692511569459846 -0.46948842455741074 -1.3344567183313618 0 0 0
70 4 1 0.0 3.509850372723771 -0.8192977650478741 -2.1612007877758463 0 0 0
71 4 1 0.0 3.021522990088679 -1.1126844795621555 -2.983064890359282 0 0 0
72 4 1 0.0 2.827831598443969 -0.15003237340751518 -3.1722329831201135 0 0 0
73 4 1 0.0 3.549265318991189 0.4333345820920165 -2.799115867339287 0 0 0
74 4 1 0.0 3.24602010599115 1.1917128727361495 -3.376094817624516 0 0 0
75 4 1 0.0 2.9008168405407613 1.1303095869464408 -4.31261195148626 0 0 0
76 4 1 0.0 2.563571514577321 1.8556644538205171 -3.7125070379770437 0 0 0
77 4 1 0.0 2.6878972590986367 2.629439260503076 -4.333647648300173 0 0 0
78 4 1 0.0 1.983645041669125 2.8045829355156853 -3.6456407389244796 0 0 0
79 4 1 0.0 1.1549528732601497 2.9029342413632584 -4.196636483604697 0 0 0
80 4 1 0.0 0.2332273854095792 2.5796014985178664 -3.982444834722899 0 0 0
81 5 1 0.0 1.905563780883206 -4.699345576155231 1.317229784522251 0 0 0
82 5 1 0.0 1.229047448495113 4.75977463416951 1.8170044388746012 0 -1 0
83 5 1 0.0 0.9721107919871484 3.7990310256839557 1.7123369974390514 0 -1 0
84 5 1 0.0 1.9309367459560995 3.991355645503771 1.5033775980173105 0 -1 0
85 5 1 0.0 2.4047554775725732 4.378690027615618 2.294242874789145 0 -1 0
86 5 1 0.0 1.5961572704776747 4.1870125738318995 2.850506025819218 0 -1 0
87 5 1 0.0 0.9341470589150771 4.213883308321903 3.599519005289409 0 -1 0
88 5 1 0.0 1.6267842601799118 4.773443325196732 4.05465227691329 0 -1 0
89 5 1 0.0 0.690115917985359 -4.885486088990351 3.9751332714885366 0 0 0
90 5 1 0.0 -0.03912786712649752 -4.898236682288211 3.2909981063009215 0 0 0
91 5 1 0.0 -0.5949102479523066 -4.466537561650774 2.580546268099021 0 0 0
92 5 1 0.0 -0.5333084550701731 -3.4808279380586025 2.7373319723946854 0 0 0
93 5 1 0.0 -0.20903022673325844 -2.897198893546807 3.481792024398096 0 0 0
94 5 1 0.0 -1.0577228325842354 -3.327226718985511 3.789683125474983 0 0 0
95 5 1 0.0 -1.7081450154075268 -4.067300975084811 3.96068335807849 0 0 0
96 5 1 0.0 -1.513129908909153 -4.781514773395249 3.2884722613682342 0 0 0
97 5 1 0.0 -1.0127128441523146 4.59429786738272 2.6884948435535487 0 -1 0
98 5 1 0.0 -0.23233242621595984 4.015205186897486 2.4525752159048366 0 -1 0
99 5 1 0.0 -0.013540928320283196 3.066665740400376 2.2236577659637646 0 -1 0
100 5 1 0.0 -0.0501776507358887 2.2792205701007866 2.838952698774439 0 -1 0

Bonds

1 1 1 2
2 1 2 3
3 1 3 4
4 1 4 5
5 1 5 6
6 1 6 7
7 1 7 8
8 1 8 9
9 1 9 10
10 1 10 11
11 1 11 12
12 1 12 13
13 1 13 14
14 1 14 15
15 1 15 16
16 1 16 17
17 1 17 18
18 1 18 19
19 1 19 20
20 1 21 22
21 1 22 23
22 1 23 24
23 1 24 25
24 1 25 26
25 1 26 27
26 1 27 28
27 1 28 29
28 1 29 30
29 1 30 31
30 1 31 32
31 1 32 33
32 1 33 34
33 1 34 35
34 1 35 36
35 1 36 37
36 1 37 38
37 1 38 39
38 1 39 40
39 1 41 42
40 1 42 43
41 1 43 44
42 1 44 45
43 1 45 46
44 1 46 47
45 1 47 48
46 1 48 49
47 1 49 50
48 1 50 51
49 1 51 52
50 1 52 53
51 1 53 54
52 1 54 55
53 1 55 56
54 1 56 57
55 1 57 58
56 1 58 59
57 1 59 60
58 1 61 62
59 1 62 63
60 1 63 64
61 1 64 65
62 1 65 66
63 1 66 67
64 1 67 68
65 1 68 69
66 1 69 70
67 1 70 71
68 1 71 72
69 1 72 73
70 1 73 74
71 1 74 75
72 1 75 76
73 1 76 77
74 1 77 78
75 1 78 79
76 1 79 80
77 1 81 82
78 1 82 83
79 1 83 84
80 1 84 85
81 1 85 86
82 1 86 87
83 1 87 88
84 1 88 89
85 1 89 90
86 1 90 91
87 1 91 92
88 1 92 93
89 1 93 94
90 1 94 95
91 1 95 96
92 1 96 97
93 1 97 98
94 1 98 99
95 1 99 100

Angles

1 1 1 2 3
2 1 2 3 4
3 1 3 4 5
4 1 4 5 6
5 1 5 6 7
6 1 6 7 8
7 1 7 8 9
8 1 8 9 10
9 1 9 10 11
10 1 10 11 12
11 1 11 12 13
12 1 12 13 14
13 1 13 14 15
14 1 14 15 16
15 1 15 16 17
16 1 16 17 18
17 1 17 18 19
18 1 18 19 20
19 1 21 22 23
20 1 22 23 24
21 1 23 24 25
22 1 24 25 26
23 1 25 26 27
24 1 26 27 28
25 1 27 28 29
26 1 28 29 30
27 1 29 30 31
28 1 30 31 32
29 1 31 32 33
30 1 32 33 34
31 1 33 34 35
32 1 34 35 36
33 1 35 36 37
34 1 36 37 38
35 1 37 38 39
36 1 38 39 40
37 1 41 42 43
38 1 42 43 44
39 1 43 44 45
40 1 44 45 46
41 1 45 46 47
42 1 46 47 48
43 1 47 48 49
44 1 48 49 50
45 1 49 50 51
46 1 50 51 52
47 1 51 52 53
48 1 52 53 54
49 1 53 54 55
50 1 54 55 56
51 1 55 56 57
52 1 56 57 58
53 1 57 58 59
54 1 58 59 60
55 1 61 62 63
56 1 62 63 64
57 1 63 64 65
58 1 64 65 66
59 1 65 66 67
60 1 66 67 68
61 1 67 68 69
62 1 68 69 70
63 1 69 70 71
64 1 70 71 72
65 1 71 72 73
66 1 72 73 74
67 1 73 74 75
68 1 74 75 76
69 1 75 76 77
70 1 76 77 78
71 1 77 78 79
72 1 78 79 80
73 1 81 82 83
74 1 82 83 84
75 1 83 84 85
76 1 84 85 86
77 1 85 86 87
78 1 86 87 88
79 1 87 88 89
80 1 88 89 90
81 1 89 90 91
82 1 90 91 92
83 1 91 92 93
84 1 92 93 94
85 1 93 94 95
86 1 94 95 96
87 1 95 96 97
88 1 96 97 98
89 1 97 98 99
90 1 98 99 100
